artist,feat,track_name,streams,bpm,valence_%,energy_%,danceability_%,speechiness_%,acousticness_%
Latto,Jung Kook,Seven (feat. Latto) (Explicit Ver.),141381703,125,89,83,80,4,31
Jung Kook,Latto,Seven (feat. Latto) (Explicit Ver.),141381703,125,89,83,80,4,31
Dave,Central Cee,Sprinter,183706234,141,66,58,92,24,19
Central Cee,Dave,Sprinter,183706234,141,66,58,92,24,19
Eslabon Armado,Peso Pluma,Ella Baila Sola,725980112,148,83,76,67,3,48
Peso Pluma,Eslabon Armado,Ella Baila Sola,725980112,148,83,76,67,3,48
Peso Pluma,Yng Lvcas,La Bebe - Remix,553634067,170,56,48,81,33,21
Yng Lvcas,Peso Pluma,La Bebe - Remix,553634067,170,56,48,81,33,21
Bad Bunny,Grupo Frontera,un x100to,505671438,83,56,72,57,5,23
Grupo Frontera,Bad Bunny,un x100to,505671438,83,56,72,57,5,23
Feid,Young Miko,Classy 101,335222234,100,67,66,86,16,14
Young Miko,Feid,Classy 101,335222234,100,67,66,86,16,14
Bizarrap,Peso Pluma,"Peso Pluma: Bzrp Music Sessions, Vol. 55",200647221,133,81,67,85,5,26
Peso Pluma,Bizarrap,"Peso Pluma: Bzrp Music Sessions, Vol. 55",200647221,133,81,67,85,5,26
Tainy,Bad Bunny,MOJABI GHOST,61245289,122,74,71,81,4,14
Bad Bunny,Tainy,MOJABI GHOST,61245289,122,74,71,81,4,14
Peso Pluma,Grupo Frontera,TULUM,52294266,168,63,87,56,5,39
Grupo Frontera,Peso Pluma,TULUM,52294266,168,63,87,56,5,39
Karol G,Shakira,TQG,618990393,180,61,63,72,28,67
Shakira,Karol G,TQG,618990393,180,61,63,72,28,67
Yahritza Y Su Esencia,Grupo Frontera,Frï¿½ï¿½gil (feat. Grupo Front,188933502,150,39,73,61,3,37
Grupo Frontera,Yahritza Y Su Esencia,Frï¿½ï¿½gil (feat. Grupo Front,188933502,150,39,73,61,3,37
Junior H,Peso Pluma,El Azul,354495408,144,84,65,56,6,23
Peso Pluma,Junior H,El Azul,354495408,144,84,65,56,6,23
Ariana Grande,The Weeknd,Die For You - Remix,518745108,67,50,53,53,7,23
The Weeknd,Ariana Grande,Die For You - Remix,518745108,67,50,53,53,7,23
dennis,MC Kevin o Chris,Tï¿½ï¿,111947664,130,59,96,86,5,50
MC Kevin o Chris,dennis,Tï¿½ï¿,111947664,130,59,96,86,5,50
PinkPantheress,Ice Spice,Boy's a liar Pt. 2,156338624,133,86,81,70,5,25
Ice Spice,PinkPantheress,Boy's a liar Pt. 2,156338624,133,86,81,70,5,25
Rauw Alejandro,ROSALï¿½,BESO,357925728,95,53,64,77,14,74
ROSALï¿½,Rauw Alejandro,BESO,357925728,95,53,64,77,14,74
Rauw Alejandro,Bizarrap,BABY HELLO,54266102,130,84,89,77,5,17
Bizarrap,Rauw Alejandro,BABY HELLO,54266102,130,84,89,77,5,17
Mc Livinho,DJ Matt D,Novidade na ï¿½ï¿,39709092,130,36,34,63,9,76
DJ Matt D,Mc Livinho,Novidade na ï¿½ï¿,39709092,130,36,34,63,9,76
Marshmello,Manuel Turizo,El Merengue,223633238,124,70,68,78,4,3
Manuel Turizo,Marshmello,El Merengue,223633238,124,70,68,78,4,3
Bad Bunny,Eladio Carrion,Coco Chanel,250305248,150,14,76,68,4,4
Eladio Carrion,Bad Bunny,Coco Chanel,250305248,150,14,76,68,4,4
J. Cole,Lil Durk,All My Life (feat. J. Cole),144565150,143,69,44,83,33,15
Lil Durk,J. Cole,All My Life (feat. J. Cole),144565150,143,69,44,83,33,15
Jasiel Nuï¿½ï¿½ez,Peso P,LAGUNAS,39058561,116,79,62,77,3,33
Peso P,Jasiel Nuï¿½ï¿½ez,LAGUNAS,39058561,116,79,62,77,3,33
Taiu,Milo j,Rara Vez,248088961,120,96,71,84,17,18
Milo j,Taiu,Rara Vez,248088961,120,96,71,84,17,18
Junior H,Peso Pluma,LUNA,55842345,128,79,63,75,4,33
Peso Pluma,Junior H,LUNA,55842345,128,79,63,75,4,33
Calvin Harris,Ellie Goulding,Miracle (with Ellie Goulding),211050784,143,31,87,64,4,4
Ellie Goulding,Calvin Harris,Miracle (with Ellie Goulding),211050784,143,31,87,64,4,4
Rauw Alejandro,Bizarrap,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",66902503,128,59,65,78,5,10
Bizarrap,Rauw Alejandro,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",66902503,128,59,65,78,5,10
Shakira,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",721975598,122,50,63,78,5,27
Bizarrap,Shakira,"Shakira: Bzrp Music Sessions, Vol. 53",721975598,122,50,63,78,5,27
Mc Pedrinho,DJ 900,"Gol Bolinha, Gol Quadrado 2",11956641,133,68,65,93,25,42
DJ 900,Mc Pedrinho,"Gol Bolinha, Gol Quadrado 2",11956641,133,68,65,93,25,42
Ana Castela,AgroPlay,Nosso Quadro,233801632,160,61,71,69,20,33
AgroPlay,Ana Castela,Nosso Quadro,233801632,160,61,71,69,20,33
Natanael Cano,Peso Pluma,PRC,436027885,138,89,83,78,5,10
Peso Pluma,Natanael Cano,PRC,436027885,138,89,83,78,5,10
Oscar Maydon,Junior H,Fin de Semana,307370144,98,37,54,70,8,6
Junior H,Oscar Maydon,Fin de Semana,307370144,98,37,54,70,8,6
Becky G,Peso Pluma,Chanel,161460990,132,53,68,85,4,40
Peso Pluma,Becky G,Chanel,161460990,132,53,68,85,4,40
Metro Boomin,Coi Leray,Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),70106975,120,5,30,78,5,21
Coi Leray,Metro Boomin,Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),70106975,120,5,30,78,5,21
Kaliii,Kaliii,Area Codes,113509496,155,51,39,82,49,2
Kaliii,Kaliii,Area Codes,113509496,155,51,39,82,49,2
Junior H,Eden Muï¿½ï,Abcdario,89933133,129,42,43,70,3,78
Eden Muï¿½ï,Junior H,Abcdario,89933133,129,42,43,70,3,78
Semicenk,Doï¿½ï¿½u,Piï¿½ï¿½man Deï¿,43522589,98,45,62,73,13,28
Doï¿½ï¿½u,Semicenk,Piï¿½ï¿½man Deï¿,43522589,98,45,62,73,13,28
Taylor Swift,Ice Spice,Karma (feat. Ice Spice),46142772,90,7,62,62,6,6
Ice Spice,Taylor Swift,Karma (feat. Ice Spice),46142772,90,7,62,62,6,6
BLESSD,Peso Pluma,Las Morras,127026613,133,90,84,78,4,31
Peso Pluma,BLESSD,Las Morras,127026613,133,90,84,78,4,31
Lana Del Rey,Taylor Swift,Snow On The Beach (feat. More Lana Del Rey),60350538,110,32,40,66,3,81
Taylor Swift,Lana Del Rey,Snow On The Beach (feat. More Lana Del Rey),60350538,110,32,40,66,3,81
Lil Durk,Morgan Wallen,Stand By Me (feat. Morgan Wallen),46065667,134,61,58,76,3,6
Morgan Wallen,Lil Durk,Stand By Me (feat. Morgan Wallen),46065667,134,61,58,76,3,6
James Blake,Metro Boomin,Hummingbird (Metro Boomin & James Blake),39666245,81,26,60,59,13,46
Metro Boomin,James Blake,Hummingbird (Metro Boomin & James Blake),39666245,81,26,60,59,13,46
Israel & Rodolffo,Mari Fernandez,Seu Brilho Sumiu - Ao Vivo,138517666,154,75,92,63,5,31
Mari Fernandez,Israel & Rodolffo,Seu Brilho Sumiu - Ao Vivo,138517666,154,75,92,63,5,31
Halsey,Suga,Lilith (feat. SUGA of BTS) (Diablo IV Anthem),51985779,84,14,74,43,8,1
Suga,Halsey,Lilith (feat. SUGA of BTS) (Diablo IV Anthem),51985779,84,14,74,43,8,1
Nicky Jam,Feid,69,57945987,93,58,62,79,23,11
Feid,Nicky Jam,69,57945987,93,58,62,79,23,11
Sean Paul,Feid,Niï¿½ï¿½a Bo,115010040,91,47,62,82,15,10
Feid,Sean Paul,Niï¿½ï¿½a Bo,115010040,91,47,62,82,15,10
